subject,body,label,subtype
Reminder: INV-27139 payment pending,"Dear Amit,

This is a friendly reminder that invoice INV-27139 ($6,200) from Vertex Solutions is still pending payment. Kindly process this urgently, within the hour using the account details previously shared, and send confirmation once done.

Regards,
Neha Bansal",bec,fake_vendor_payment_reminder
Payroll account change request - as soon as possible,"Hello,

Could you please update my salary account details on file? My previous account is no longer active. Please confirm as soon as possible so my next paycheck isn't delayed.

Regards,
Sunita Bansal",bec,hr_payroll_redirect
Second notice - INV-78202 overdue,"Hi Sanjay,

We haven't received payment for INV-78202 (₹1,25,000). Please arrange the transfer before close of business today to avoid late fees and account suspension with Summit Logistics.

Thanks,
Sunita Choudhary",bec,fake_vendor_payment_reminder
Compliance action required - INV-28242,"Hello Kavita,

Our compliance review flagged an outstanding settlement (INV-28242, ₹22,30,000) that must be resolved urgently, within the hour to avoid regulatory penalties for BlueRidge Textiles. Please action this personally.

Regards,
Karan Iyer",bec,fake_legal_compliance_request
Confidential - handle personally,"Hi Meera,

This is confidential, please don't discuss it with anyone else on the team yet. I need $6,200 transferred to finalize an acquisition we're working on. Time-sensitive - can you process this as soon as possible?

Thanks,
Rajesh Iyer",bec,fake_ceo_wire_request
Compliance action required - INV-36972,"Hello Kavita,

Our compliance review flagged an outstanding settlement (INV-36972, $18,500) that must be resolved urgently, within the hour to avoid regulatory penalties for Meridian Exports. Please action this personally.

Regards,
Anjali Kapoor",bec,fake_legal_compliance_request
Outstanding invoice INV-41946 - payment overdue,"Hello Sanjay,

Invoice INV-41946 for ₹22,30,000 remains outstanding. Please process payment before close of business today to our updated beneficiary account (details attached) to avoid service disruption.

Regards,
Deepa Iyer
Meridian Exports",bec,vendor_invoice_fraud
Time-sensitive legal matter - your action needed,"Dear Deepa,

I'm assisting Neha Sharma on a confidential legal matter regarding BlueRidge Textiles. We need a payment of $18,500 processed urgently, within the hour to settle this before it escalates. Please treat this as strictly confidential.

Regards,
Legal Counsel",bec,fake_legal_compliance_request
Update to my direct deposit details,"Hi HR Team,

I recently switched banks and need to update my direct deposit information for payroll. Please update my account to the new details I'll send in a follow-up, and confirm the change takes effect from the next pay cycle.

Thanks,
Vikram Reddy",bec,hr_payroll_redirect
Payroll account change request - immediately,"Hello,

Could you please update my salary account details on file? My previous account is no longer active. Please confirm immediately so my next paycheck isn't delayed.

Regards,
Neha Reddy",bec,hr_payroll_redirect
Time-sensitive legal matter - your action needed,"Dear Sanjay,

I'm assisting Kavita Sharma on a confidential legal matter regarding Nova Industries. We need a payment of ₹12,40,000 processed before close of business today to settle this before it escalates. Please treat this as strictly confidential.

Regards,
Legal Counsel",bec,fake_legal_compliance_request
Reminder: INV-54589 payment pending,"Dear Amit,

This is a friendly reminder that invoice INV-54589 ($18,500) from Falcon Enterprises is still pending payment. Kindly process this as soon as possible using the account details previously shared, and send confirmation once done.

Regards,
Kavita Kapoor",bec,fake_vendor_payment_reminder
Reminder: INV-95344 payment pending,"Dear Meera,

This is a friendly reminder that invoice INV-95344 (₹9,60,000) from BlueRidge Textiles is still pending payment. Kindly process this before end of day using the account details previously shared, and send confirmation once done.

Regards,
Meera Sharma",bec,fake_vendor_payment_reminder
Outstanding invoice INV-32871 - payment overdue,"Hello Vikram,

Invoice INV-32871 for ₹9,60,000 remains outstanding. Please process payment immediately to our updated beneficiary account (details attached) to avoid service disruption.

Regards,
Meera Gupta
Summit Logistics",bec,vendor_invoice_fraud
Compliance action required - INV-22795,"Hello Kavita,

Our compliance review flagged an outstanding settlement (INV-22795, ₹22,30,000) that must be resolved before close of business today to avoid regulatory penalties for Falcon Enterprises. Please action this personally.

Regards,
Karan Reddy",bec,fake_legal_compliance_request
Updated payment details for INV-46655,"Dear Amit,

Please note that our banking details have changed. For invoice INV-46655 (amount ₹1,25,000), kindly remit payment to our new account at Axis Bank going forward. Let us know once the transfer is complete.

Best regards,
Accounts Team, Vertex Solutions",bec,vendor_invoice_fraud
Reminder: INV-13037 payment pending,"Dear Kavita,

This is a friendly reminder that invoice INV-13037 (₹22,30,000) from Falcon Enterprises is still pending payment. Kindly process this immediately using the account details previously shared, and send confirmation once done.

Regards,
Sanjay Mehta",bec,fake_vendor_payment_reminder
Reminder: INV-83874 payment pending,"Dear Anjali,

This is a friendly reminder that invoice INV-83874 (₹1,25,000) from Summit Logistics is still pending payment. Kindly process this immediately using the account details previously shared, and send confirmation once done.

Regards,
Anjali Gupta",bec,fake_vendor_payment_reminder
Updated payment details for INV-41963,"Dear Neha,

Please note that our banking details have changed. For invoice INV-41963 (amount ₹22,30,000), kindly remit payment to our new account at Axis Bank going forward. Let us know once the transfer is complete.

Best regards,
Accounts Team, BlueRidge Textiles",bec,vendor_invoice_fraud
Outstanding invoice INV-10336 - payment overdue,"Hello Karan,

Invoice INV-10336 for ₹9,60,000 remains outstanding. Please process payment urgently, within the hour to our updated beneficiary account (details attached) to avoid service disruption.

Regards,
Karan Kapoor
Vertex Solutions",bec,vendor_invoice_fraud
Confidential - handle personally,"Hi Karan,

This is confidential, please don't discuss it with anyone else on the team yet. I need ₹2,75,500 transferred to finalize an acquisition we're working on. Time-sensitive - can you process this before end of day?

Thanks,
Rajesh Reddy",bec,fake_ceo_wire_request
Confidential - handle personally,"Hi Karan,

This is confidential, please don't discuss it with anyone else on the team yet. I need ₹12,40,000 transferred to finalize an acquisition we're working on. Time-sensitive - can you process this immediately?

Thanks,
Arjun Iyer",bec,fake_ceo_wire_request
Reminder: INV-19564 payment pending,"Dear Kavita,

This is a friendly reminder that invoice INV-19564 (₹22,30,000) from Meridian Exports is still pending payment. Kindly process this immediately using the account details previously shared, and send confirmation once done.

Regards,
Sunita Malhotra",bec,fake_vendor_payment_reminder
Quick request - immediately,"Hi Kavita,

I'm currently in a board meeting and can't talk right now. I need you to process a wire transfer of ₹2,75,500 to a new vendor account immediately. I'll send the account details separately - please confirm you're available to action this now.

Regards,
Rajesh Bansal
CEO, Crestline Traders",bec,fake_ceo_wire_request
Second notice - INV-78879 overdue,"Hi Kavita,

We haven't received payment for INV-78879 (₹12,40,000). Please arrange the transfer before close of business today to avoid late fees and account suspension with Orion Manufacturing.

Thanks,
Karan Joshi",bec,fake_vendor_payment_reminder
Updated payment details for INV-30585,"Dear Karan,

Please note that our banking details have changed. For invoice INV-30585 (amount ₹12,40,000), kindly remit payment to our new account at Axis Bank going forward. Let us know once the transfer is complete.

Best regards,
Accounts Team, Orion Manufacturing",bec,vendor_invoice_fraud
Confidential - handle personally,"Hi Rohit,

This is confidential, please don't discuss it with anyone else on the team yet. I need $18,500 transferred to finalize an acquisition we're working on. Time-sensitive - can you process this before close of business today?

Thanks,
Neha Mehta",bec,fake_ceo_wire_request
Update to my direct deposit details,"Hi HR Team,

I recently switched banks and need to update my direct deposit information for payroll. Please update my account to the new details I'll send in a follow-up, and confirm the change takes effect from the next pay cycle.

Thanks,
Amit Kapoor",bec,hr_payroll_redirect
Compliance action required - INV-67850,"Hello Vikram,

Our compliance review flagged an outstanding settlement (INV-67850, ₹4,85,000) that must be resolved as soon as possible to avoid regulatory penalties for Vertex Solutions. Please action this personally.

Regards,
Karan Joshi",bec,fake_legal_compliance_request
Reminder: INV-14138 payment pending,"Dear Rohit,

This is a friendly reminder that invoice INV-14138 ($18,500) from Meridian Exports is still pending payment. Kindly process this as soon as possible using the account details previously shared, and send confirmation once done.

Regards,
Deepa Choudhary",bec,fake_vendor_payment_reminder
Compliance action required - INV-98094,"Hello Amit,

Our compliance review flagged an outstanding settlement (INV-98094, ₹12,40,000) that must be resolved before end of day to avoid regulatory penalties for Crestline Traders. Please action this personally.

Regards,
Meera Malhotra",bec,fake_legal_compliance_request
Update to my direct deposit details,"Hi HR Team,

I recently switched banks and need to update my direct deposit information for payroll. Please update my account to the new details I'll send in a follow-up, and confirm the change takes effect from the next pay cycle.

Thanks,
Deepa Iyer",bec,hr_payroll_redirect
Outstanding invoice INV-75323 - payment overdue,"Hello Priya,

Invoice INV-75323 for ₹2,75,500 remains outstanding. Please process payment urgently, within the hour to our updated beneficiary account (details attached) to avoid service disruption.

Regards,
Sunita Verma
Falcon Enterprises",bec,vendor_invoice_fraud
